DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 855432083.02864 | delta: 8.6e+08 | secs: 0.00660
DEBUG:MNF:MNF  ::: [  1] fit: 586300130.64754 | delta: 2.7e+08 | secs: 0.00606
DEBUG:MNF:MNF  ::: [  2] fit: 474418474.31309 | delta: 1.1e+08 | secs: 0.00573
DEBUG:MNF:MNF  ::: [  3] fit: 484805040.67942 | delta: 1.0e+07 | secs: 0.00568
DEBUG:MNF:MNF  ::: [  4] fit: 456703839.17097 | delta: 2.8e+07 | secs: 0.00564
DEBUG:MNF:MNF  ::: [  5] fit: 375583943.03592 | delta: 8.1e+07 | secs: 0.00562
DEBUG:MNF:MNF  ::: [  6] fit: 283533571.93732 | delta: 9.2e+07 | secs: 0.00567
DEBUG:MNF:MNF  ::: [  7] fit: 206398926.97779 | delta: 7.7e+07 | secs: 0.00562
DEBUG:MNF:MNF  ::: [  8] fit: 149699374.99171 | delta: 5.7e+07 | secs: 0.00564
DEBUG:MNF:MNF  ::: [  9] fit: 110170237.28380 | delta: 4.0e+07 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 10] fit: 82935400.14281 | delta: 2.7e+07 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 11] fit: 63978571.08714 | delta: 1.9e+07 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 12] fit: 50505012.51465 | delta: 1.3e+07 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 13] fit: 40691114.63543 | delta: 9.8e+06 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 14] fit: 33369791.22154 | delta: 7.3e+06 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 15] fit: 27789302.72520 | delta: 5.6e+06 | secs: 0.00553
DEBUG:MNF:MNF  ::: [ 16] fit: 23454300.23435 | delta: 4.3e+06 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 17] fit: 20028740.77626 | delta: 3.4e+06 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 18] fit: 17278820.16003 | delta: 2.7e+06 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 19] fit: 15039157.02622 | delta: 2.2e+06 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 20] fit: 13191546.29468 | delta: 1.8e+06 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 21] fit: 11650581.28931 | delta: 1.5e+06 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 22] fit: 10353541.12531 | delta: 1.3e+06 | secs: 0.00549
DEBUG:MNF:MNF  ::: [ 23] fit: 9253353.08351 | delta: 1.1e+06 | secs: 0.00552
DEBUG:MNF:MNF  ::: [ 24] fit: 8313833.52803 | delta: 9.4e+05 | secs: 0.00552
DEBUG:MNF:MNF  ::: [ 25] fit: 7506509.44081 | delta: 8.1e+05 | secs: 0.00550
DEBUG:MNF:MNF  ::: [ 26] fit: 6808508.64325 | delta: 7.0e+05 | secs: 0.00552
DEBUG:MNF:MNF  ::: [ 27] fit: 6201217.20370 | delta: 6.1e+05 | secs: 0.00549
DEBUG:MNF:MNF  ::: [ 28] fit: 5669477.31950 | delta: 5.3e+05 | secs: 0.00551
DEBUG:MNF:MNF  ::: [ 29] fit: 5201076.89626 | delta: 4.7e+05 | secs: 0.00548
DEBUG:MNF:MNF  ::: [ 30] fit: 4786309.34987 | delta: 4.1e+05 | secs: 0.00549
DEBUG:MNF:MNF  ::: [ 31] fit: 4417491.96193 | delta: 3.7e+05 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 32] fit: 4088454.13944 | delta: 3.3e+05 | secs: 0.00549
DEBUG:MNF:MNF  ::: [ 33] fit: 3794085.67520 | delta: 2.9e+05 | secs: 0.00552
DEBUG:MNF:MNF  ::: [ 34] fit: 3530028.58525 | delta: 2.6e+05 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 35] fit: 3292510.28554 | delta: 2.4e+05 | secs: 0.00554
