DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 831244411.31650 | delta: 8.3e+08 | secs: 0.01032
DEBUG:MNF:MNF  ::: [  1] fit: 527225439.33124 | delta: 3.0e+08 | secs: 0.01007
DEBUG:MNF:MNF  ::: [  2] fit: 346242671.63792 | delta: 1.8e+08 | secs: 0.00964
DEBUG:MNF:MNF  ::: [  3] fit: 294187996.41730 | delta: 5.2e+07 | secs: 0.00938
DEBUG:MNF:MNF  ::: [  4] fit: 257509277.76653 | delta: 3.7e+07 | secs: 0.00941
DEBUG:MNF:MNF  ::: [  5] fit: 208239746.92642 | delta: 4.9e+07 | secs: 0.00866
DEBUG:MNF:MNF  ::: [  6] fit: 158458028.11368 | delta: 5.0e+07 | secs: 0.00562
DEBUG:MNF:MNF  ::: [  7] fit: 117494172.23185 | delta: 4.1e+07 | secs: 0.00561
DEBUG:MNF:MNF  ::: [  8] fit: 87014329.73583 | delta: 3.0e+07 | secs: 0.00561
DEBUG:MNF:MNF  ::: [  9] fit: 65248231.46891 | delta: 2.2e+07 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 10] fit: 49838129.29473 | delta: 1.5e+07 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 11] fit: 38834566.98391 | delta: 1.1e+07 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 12] fit: 30844922.41959 | delta: 8.0e+06 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 13] fit: 24928794.34633 | delta: 5.9e+06 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 14] fit: 20462270.49974 | delta: 4.5e+06 | secs: 0.00552
DEBUG:MNF:MNF  ::: [ 15] fit: 17030180.33682 | delta: 3.4e+06 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 16] fit: 14351905.41435 | delta: 2.7e+06 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 17] fit: 12233437.30335 | delta: 2.1e+06 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 18] fit: 10537339.55511 | delta: 1.7e+06 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 19] fit: 9163985.10973 | delta: 1.4e+06 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 20] fit: 8039681.44370 | delta: 1.1e+06 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 21] fit: 7109080.51199 | delta: 9.3e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 22] fit: 6330256.95461 | delta: 7.8e+05 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 23] fit: 5671374.23301 | delta: 6.6e+05 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 24] fit: 5108270.69906 | delta: 5.6e+05 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 25] fit: 4622625.26754 | delta: 4.9e+05 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 26] fit: 4200548.56238 | delta: 4.2e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 27] fit: 3831484.94840 | delta: 3.7e+05 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 28] fit: 3507313.69249 | delta: 3.2e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 29] fit: 3221611.64174 | delta: 2.9e+05 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 30] fit: 2969112.79787 | delta: 2.5e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 31] fit: 2745368.96154 | delta: 2.2e+05 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 32] fit: 2546552.46799 | delta: 2.0e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 33] fit: 2369337.24624 | delta: 1.8e+05 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 34] fit: 2210822.47441 | delta: 1.6e+05 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 35] fit: 2068485.20456 | delta: 1.4e+05 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 36] fit: 1940151.73621 | delta: 1.3e+05 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 37] fit: 1823964.00306 | delta: 1.2e+05 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 38] fit: 1718321.82420 | delta: 1.1e+05 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 39] fit: 1621816.66786 | delta: 9.7e+04 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 40] fit: 1533193.83433 | delta: 8.9e+04 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 41] fit: 1451360.55784 | delta: 8.2e+04 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 42] fit: 1375419.28232 | delta: 7.6e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 43] fit: 1304683.46989 | delta: 7.1e+04 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 44] fit: 1238649.32485 | delta: 6.6e+04 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 45] fit: 1176936.48972 | delta: 6.2e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 46] fit: 1119231.52137 | delta: 5.8e+04 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 47] fit: 1065253.83817 | delta: 5.4e+04 | secs: 0.00571
DEBUG:MNF:MNF  ::: [ 48] fit: 1014742.05107 | delta: 5.1e+04 | secs: 0.00564
DEBUG:MNF:MNF  ::: [ 49] fit: 967451.97717 | delta: 4.7e+04 | secs: 0.00569
DEBUG:MNF:MNF  ::: [ 50] fit: 923160.27938 | delta: 4.4e+04 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 51] fit: 881668.30612 | delta: 4.1e+04 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 52] fit: 842800.32173 | delta: 3.9e+04 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 53] fit: 806395.05858 | delta: 3.6e+04 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 54] fit: 772296.98798 | delta: 3.4e+04 | secs: 0.00573
DEBUG:MNF:MNF  ::: [ 55] fit: 740354.45079 | delta: 3.2e+04 | secs: 0.00570
DEBUG:MNF:MNF  ::: [ 56] fit: 710424.44197 | delta: 3.0e+04 | secs: 0.00572
DEBUG:MNF:MNF  ::: [ 57] fit: 682377.42084 | delta: 2.8e+04 | secs: 0.00569
DEBUG:MNF:MNF  ::: [ 58] fit: 656096.85615 | delta: 2.6e+04 | secs: 0.00566
DEBUG:MNF:MNF  ::: [ 59] fit: 631474.56333 | delta: 2.5e+04 | secs: 0.00570
DEBUG:MNF:MNF  ::: [ 60] fit: 608406.24968 | delta: 2.3e+04 | secs: 0.00573
DEBUG:MNF:MNF  ::: [ 61] fit: 586789.69447 | delta: 2.2e+04 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 62] fit: 566525.52087 | delta: 2.0e+04 | secs: 0.00569
