DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 831244303.28494 | delta: 8.3e+08 | secs: 0.00692
DEBUG:MNF:MNF  ::: [  1] fit: 527225403.46212 | delta: 3.0e+08 | secs: 0.00622
DEBUG:MNF:MNF  ::: [  2] fit: 346242652.68112 | delta: 1.8e+08 | secs: 0.00592
DEBUG:MNF:MNF  ::: [  3] fit: 294187980.74579 | delta: 5.2e+07 | secs: 0.00588
DEBUG:MNF:MNF  ::: [  4] fit: 257509261.82321 | delta: 3.7e+07 | secs: 0.00581
DEBUG:MNF:MNF  ::: [  5] fit: 208239729.22584 | delta: 4.9e+07 | secs: 0.00577
DEBUG:MNF:MNF  ::: [  6] fit: 158458009.13089 | delta: 5.0e+07 | secs: 0.00574
DEBUG:MNF:MNF  ::: [  7] fit: 117494152.01951 | delta: 4.1e+07 | secs: 0.00576
DEBUG:MNF:MNF  ::: [  8] fit: 87014308.38936 | delta: 3.0e+07 | secs: 0.00576
DEBUG:MNF:MNF  ::: [  9] fit: 65248209.16820 | delta: 2.2e+07 | secs: 0.00577
DEBUG:MNF:MNF  ::: [ 10] fit: 49838106.22685 | delta: 1.5e+07 | secs: 0.00575
DEBUG:MNF:MNF  ::: [ 11] fit: 38834543.31164 | delta: 1.1e+07 | secs: 0.00574
DEBUG:MNF:MNF  ::: [ 12] fit: 30844898.27387 | delta: 8.0e+06 | secs: 0.00570
DEBUG:MNF:MNF  ::: [ 13] fit: 24928769.82942 | delta: 5.9e+06 | secs: 0.00569
DEBUG:MNF:MNF  ::: [ 14] fit: 20462245.68991 | delta: 4.5e+06 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 15] fit: 17030155.29425 | delta: 3.4e+06 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 16] fit: 14351880.18603 | delta: 2.7e+06 | secs: 0.00566
