DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 831244302.79572 | delta: 8.3e+08 | secs: 0.01055
DEBUG:MNF:MNF  ::: [  1] fit: 527225402.36309 | delta: 3.0e+08 | secs: 0.01007
DEBUG:MNF:MNF  ::: [  2] fit: 346242651.63138 | delta: 1.8e+08 | secs: 0.00962
DEBUG:MNF:MNF  ::: [  3] fit: 294187980.28505 | delta: 5.2e+07 | secs: 0.00949
DEBUG:MNF:MNF  ::: [  4] fit: 257509261.31465 | delta: 3.7e+07 | secs: 0.00943
DEBUG:MNF:MNF  ::: [  5] fit: 208239728.71298 | delta: 4.9e+07 | secs: 0.00945
DEBUG:MNF:MNF  ::: [  6] fit: 158458008.63206 | delta: 5.0e+07 | secs: 0.00950
DEBUG:MNF:MNF  ::: [  7] fit: 117494151.53908 | delta: 4.1e+07 | secs: 0.00941
DEBUG:MNF:MNF  ::: [  8] fit: 87014307.92556 | delta: 3.0e+07 | secs: 0.00752
DEBUG:MNF:MNF  ::: [  9] fit: 65248208.71761 | delta: 2.2e+07 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 10] fit: 49838105.78619 | delta: 1.5e+07 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 11] fit: 38834542.87826 | delta: 1.1e+07 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 12] fit: 30844897.84578 | delta: 8.0e+06 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 13] fit: 24928769.40515 | delta: 5.9e+06 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 14] fit: 20462245.26841 | delta: 4.5e+06 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 15] fit: 17030154.87473 | delta: 3.4e+06 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 16] fit: 14351879.76790 | delta: 2.7e+06 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 17] fit: 12233411.50907 | delta: 2.1e+06 | secs: 0.00552
