DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 884605556.32192 | delta: 8.8e+08 | secs: 0.00849
DEBUG:MNF:MNF  ::: [  1] fit: 695463101.80299 | delta: 1.9e+08 | secs: 0.00642
DEBUG:MNF:MNF  ::: [  2] fit: 791169521.80466 | delta: 9.6e+07 | secs: 0.00616
DEBUG:MNF:MNF  ::: [  3] fit: 1007429534.06361 | delta: 2.2e+08 | secs: 0.00606
DEBUG:MNF:MNF  ::: [  4] fit: 1027944839.92189 | delta: 2.1e+07 | secs: 0.00610
DEBUG:MNF:MNF  ::: [  5] fit: 862571843.07634 | delta: 1.7e+08 | secs: 0.00605
DEBUG:MNF:MNF  ::: [  6] fit: 643366338.90875 | delta: 2.2e+08 | secs: 0.00603
DEBUG:MNF:MNF  ::: [  7] fit: 453693374.61728 | delta: 1.9e+08 | secs: 0.00601
DEBUG:MNF:MNF  ::: [  8] fit: 315762940.71191 | delta: 1.4e+08 | secs: 0.00602
DEBUG:MNF:MNF  ::: [  9] fit: 222790336.14884 | delta: 9.3e+07 | secs: 0.00594
DEBUG:MNF:MNF  ::: [ 10] fit: 161559103.44029 | delta: 6.1e+07 | secs: 0.00598
DEBUG:MNF:MNF  ::: [ 11] fit: 120942395.66730 | delta: 4.1e+07 | secs: 0.00596
DEBUG:MNF:MNF  ::: [ 12] fit: 93362779.61242 | delta: 2.8e+07 | secs: 0.00599
DEBUG:MNF:MNF  ::: [ 13] fit: 74066544.22314 | delta: 1.9e+07 | secs: 0.00594
DEBUG:MNF:MNF  ::: [ 14] fit: 60148227.64983 | delta: 1.4e+07 | secs: 0.00596
DEBUG:MNF:MNF  ::: [ 15] fit: 49823537.32024 | delta: 1.0e+07 | secs: 0.00593
DEBUG:MNF:MNF  ::: [ 16] fit: 41972136.26123 | delta: 7.9e+06 | secs: 0.00594
DEBUG:MNF:MNF  ::: [ 17] fit: 35869486.95048 | delta: 6.1e+06 | secs: 0.00591
DEBUG:MNF:MNF  ::: [ 18] fit: 31032998.79270 | delta: 4.8e+06 | secs: 0.00597
DEBUG:MNF:MNF  ::: [ 19] fit: 27132954.37810 | delta: 3.9e+06 | secs: 0.00606
DEBUG:MNF:MNF  ::: [ 20] fit: 23939391.96912 | delta: 3.2e+06 | secs: 0.00591
DEBUG:MNF:MNF  ::: [ 21] fit: 21289056.93669 | delta: 2.7e+06 | secs: 0.00592
DEBUG:MNF:MNF  ::: [ 22] fit: 19063950.22453 | delta: 2.2e+06 | secs: 0.00588
DEBUG:MNF:MNF  ::: [ 23] fit: 17177099.20148 | delta: 1.9e+06 | secs: 0.00590
DEBUG:MNF:MNF  ::: [ 24] fit: 15563126.75834 | delta: 1.6e+06 | secs: 0.00592
DEBUG:MNF:MNF  ::: [ 25] fit: 14171955.82470 | delta: 1.4e+06 | secs: 0.00588
DEBUG:MNF:MNF  ::: [ 26] fit: 12964462.92462 | delta: 1.2e+06 | secs: 0.00591
DEBUG:MNF:MNF  ::: [ 27] fit: 11909456.39192 | delta: 1.1e+06 | secs: 0.00591
DEBUG:MNF:MNF  ::: [ 28] fit: 10981726.55574 | delta: 9.3e+05 | secs: 0.00591
DEBUG:MNF:MNF  ::: [ 29] fit: 10160875.60110 | delta: 8.2e+05 | secs: 0.00588
DEBUG:MNF:MNF  ::: [ 30] fit: 9430502.33149 | delta: 7.3e+05 | secs: 0.00588
DEBUG:MNF:MNF  ::: [ 31] fit: 8777434.88971 | delta: 6.5e+05 | secs: 0.00590
DEBUG:MNF:MNF  ::: [ 32] fit: 8190970.44930 | delta: 5.9e+05 | secs: 0.00588
DEBUG:MNF:MNF  ::: [ 33] fit: 7662230.24769 | delta: 5.3e+05 | secs: 0.00590
DEBUG:MNF:MNF  ::: [ 34] fit: 7183702.18417 | delta: 4.8e+05 | secs: 0.00591
DEBUG:MNF:MNF  ::: [ 35] fit: 6748945.11828 | delta: 4.3e+05 | secs: 0.00595
DEBUG:MNF:MNF  ::: [ 36] fit: 6352401.47114 | delta: 4.0e+05 | secs: 0.00592
DEBUG:MNF:MNF  ::: [ 37] fit: 5989298.28896 | delta: 3.6e+05 | secs: 0.00592
DEBUG:MNF:MNF  ::: [ 38] fit: 5655610.85393 | delta: 3.3e+05 | secs: 0.00591
DEBUG:MNF:MNF  ::: [ 39] fit: 5348019.65682 | delta: 3.1e+05 | secs: 0.00591
