DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 844522147.01476 | delta: 8.4e+08 | secs: 0.01407
DEBUG:MNF:MNF  ::: [  1] fit: 539996344.31988 | delta: 3.0e+08 | secs: 0.00682
DEBUG:MNF:MNF  ::: [  2] fit: 347282089.81759 | delta: 1.9e+08 | secs: 0.00662
DEBUG:MNF:MNF  ::: [  3] fit: 290756236.26468 | delta: 5.7e+07 | secs: 0.00672
DEBUG:MNF:MNF  ::: [  4] fit: 255860710.98682 | delta: 3.5e+07 | secs: 0.00662
DEBUG:MNF:MNF  ::: [  5] fit: 209383598.32773 | delta: 4.6e+07 | secs: 0.00655
DEBUG:MNF:MNF  ::: [  6] fit: 161430799.65923 | delta: 4.8e+07 | secs: 0.00709
DEBUG:MNF:MNF  ::: [  7] fit: 121245483.54510 | delta: 4.0e+07 | secs: 0.00651
DEBUG:MNF:MNF  ::: [  8] fit: 90872244.29334 | delta: 3.0e+07 | secs: 0.00648
DEBUG:MNF:MNF  ::: [  9] fit: 68876790.78671 | delta: 2.2e+07 | secs: 0.00649
DEBUG:MNF:MNF  ::: [ 10] fit: 53105405.03067 | delta: 1.6e+07 | secs: 0.00648
DEBUG:MNF:MNF  ::: [ 11] fit: 41714013.34640 | delta: 1.1e+07 | secs: 0.00642
DEBUG:MNF:MNF  ::: [ 12] fit: 33360889.33782 | delta: 8.4e+06 | secs: 0.00645
DEBUG:MNF:MNF  ::: [ 13] fit: 27128572.13779 | delta: 6.2e+06 | secs: 0.00645
DEBUG:MNF:MNF  ::: [ 14] fit: 22399931.11845 | delta: 4.7e+06 | secs: 0.00641
DEBUG:MNF:MNF  ::: [ 15] fit: 18756436.43869 | delta: 3.6e+06 | secs: 0.00643
DEBUG:MNF:MNF  ::: [ 16] fit: 15908893.73390 | delta: 2.8e+06 | secs: 0.00637
DEBUG:MNF:MNF  ::: [ 17] fit: 13653492.86494 | delta: 2.3e+06 | secs: 0.00633
DEBUG:MNF:MNF  ::: [ 18] fit: 11844082.19230 | delta: 1.8e+06 | secs: 0.00635
DEBUG:MNF:MNF  ::: [ 19] fit: 10374245.37468 | delta: 1.5e+06 | secs: 0.00633
DEBUG:MNF:MNF  ::: [ 20] fit: 9165472.75224 | delta: 1.2e+06 | secs: 0.00637
DEBUG:MNF:MNF  ::: [ 21] fit: 8159304.80959 | delta: 1.0e+06 | secs: 0.00634
DEBUG:MNF:MNF  ::: [ 22] fit: 7312019.30231 | delta: 8.5e+05 | secs: 0.00641
DEBUG:MNF:MNF  ::: [ 23] fit: 6590840.68727 | delta: 7.2e+05 | secs: 0.00632
DEBUG:MNF:MNF  ::: [ 24] fit: 5971077.32613 | delta: 6.2e+05 | secs: 0.00638
DEBUG:MNF:MNF  ::: [ 25] fit: 5433937.63183 | delta: 5.4e+05 | secs: 0.00637
DEBUG:MNF:MNF  ::: [ 26] fit: 4964921.94571 | delta: 4.7e+05 | secs: 0.00694
DEBUG:MNF:MNF  ::: [ 27] fit: 4552694.12379 | delta: 4.1e+05 | secs: 0.00650
DEBUG:MNF:MNF  ::: [ 28] fit: 4188308.45352 | delta: 3.6e+05 | secs: 0.00639
DEBUG:MNF:MNF  ::: [ 29] fit: 3864653.19388 | delta: 3.2e+05 | secs: 0.00695
DEBUG:MNF:MNF  ::: [ 30] fit: 3576003.34113 | delta: 2.9e+05 | secs: 0.00635
DEBUG:MNF:MNF  ::: [ 31] fit: 3317645.19571 | delta: 2.6e+05 | secs: 0.00632
DEBUG:MNF:MNF  ::: [ 32] fit: 3085587.40896 | delta: 2.3e+05 | secs: 0.00632
DEBUG:MNF:MNF  ::: [ 33] fit: 2876379.49403 | delta: 2.1e+05 | secs: 0.00631
DEBUG:MNF:MNF  ::: [ 34] fit: 2687033.03671 | delta: 1.9e+05 | secs: 0.00642
DEBUG:MNF:MNF  ::: [ 35] fit: 2515004.33992 | delta: 1.7e+05 | secs: 0.00638
DEBUG:MNF:MNF  ::: [ 36] fit: 2358181.92296 | delta: 1.6e+05 | secs: 0.00636
DEBUG:MNF:MNF  ::: [ 37] fit: 2214842.92319 | delta: 1.4e+05 | secs: 0.00635
DEBUG:MNF:MNF  ::: [ 38] fit: 2083577.70962 | delta: 1.3e+05 | secs: 0.00636
DEBUG:MNF:MNF  ::: [ 39] fit: 1963203.56458 | delta: 1.2e+05 | secs: 0.00637
DEBUG:MNF:MNF  ::: [ 40] fit: 1852685.62064 | delta: 1.1e+05 | secs: 0.00676
DEBUG:MNF:MNF  ::: [ 41] fit: 1751072.88500 | delta: 1.0e+05 | secs: 0.00637
DEBUG:MNF:MNF  ::: [ 42] fit: 1657457.73443 | delta: 9.4e+04 | secs: 0.00632
DEBUG:MNF:MNF  ::: [ 43] fit: 1570968.26465 | delta: 8.6e+04 | secs: 0.00641
DEBUG:MNF:MNF  ::: [ 44] fit: 1490790.42340 | delta: 8.0e+04 | secs: 0.00636
DEBUG:MNF:MNF  ::: [ 45] fit: 1416202.53173 | delta: 7.5e+04 | secs: 0.00635
DEBUG:MNF:MNF  ::: [ 46] fit: 1346601.74205 | delta: 7.0e+04 | secs: 0.00637
DEBUG:MNF:MNF  ::: [ 47] fit: 1281507.53312 | delta: 6.5e+04 | secs: 0.00635
DEBUG:MNF:MNF  ::: [ 48] fit: 1220540.41326 | delta: 6.1e+04 | secs: 0.00630
DEBUG:MNF:MNF  ::: [ 49] fit: 1163390.79872 | delta: 5.7e+04 | secs: 0.00633
DEBUG:MNF:MNF  ::: [ 50] fit: 1109795.08096 | delta: 5.4e+04 | secs: 0.00635
