DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 934004799.59664 | delta: 9.3e+08 | secs: 0.00830
DEBUG:MNF:MNF  ::: [  1] fit: 916821889.45443 | delta: 1.7e+07 | secs: 0.00769
DEBUG:MNF:MNF  ::: [  2] fit: 1672018013.88145 | delta: 7.6e+08 | secs: 0.00753
DEBUG:MNF:MNF  ::: [  3] fit: 2803998108.87733 | delta: 1.1e+09 | secs: 0.00737
DEBUG:MNF:MNF  ::: [  4] fit: 3316436289.59041 | delta: 5.1e+08 | secs: 0.00745
DEBUG:MNF:MNF  ::: [  5] fit: 3085399215.74072 | delta: 2.3e+08 | secs: 0.00798
DEBUG:MNF:MNF  ::: [  6] fit: 2482281540.38413 | delta: 6.0e+08 | secs: 0.00736
DEBUG:MNF:MNF  ::: [  7] fit: 1834509027.38383 | delta: 6.5e+08 | secs: 0.00728
DEBUG:MNF:MNF  ::: [  8] fit: 1298233096.58631 | delta: 5.4e+08 | secs: 0.00732
DEBUG:MNF:MNF  ::: [  9] fit: 907003397.17037 | delta: 3.9e+08 | secs: 0.00729
DEBUG:MNF:MNF  ::: [ 10] fit: 639244470.18351 | delta: 2.7e+08 | secs: 0.00725
DEBUG:MNF:MNF  ::: [ 11] fit: 460586654.85038 | delta: 1.8e+08 | secs: 0.00728
DEBUG:MNF:MNF  ::: [ 12] fit: 341407306.20281 | delta: 1.2e+08 | secs: 0.00725
DEBUG:MNF:MNF  ::: [ 13] fit: 260660244.56457 | delta: 8.1e+07 | secs: 0.00716
DEBUG:MNF:MNF  ::: [ 14] fit: 204611028.39131 | delta: 5.6e+07 | secs: 0.00719
DEBUG:MNF:MNF  ::: [ 15] fit: 164608247.34129 | delta: 4.0e+07 | secs: 0.00729
DEBUG:MNF:MNF  ::: [ 16] fit: 135245327.08880 | delta: 2.9e+07 | secs: 0.00718
DEBUG:MNF:MNF  ::: [ 17] fit: 113115511.77183 | delta: 2.2e+07 | secs: 0.00718
DEBUG:MNF:MNF  ::: [ 18] fit: 96033319.08926 | delta: 1.7e+07 | secs: 0.00716
DEBUG:MNF:MNF  ::: [ 19] fit: 82564075.00847 | delta: 1.3e+07 | secs: 0.00714
DEBUG:MNF:MNF  ::: [ 20] fit: 71743315.52379 | delta: 1.1e+07 | secs: 0.00716
DEBUG:MNF:MNF  ::: [ 21] fit: 62908704.38894 | delta: 8.8e+06 | secs: 0.00723
DEBUG:MNF:MNF  ::: [ 22] fit: 55596550.80333 | delta: 7.3e+06 | secs: 0.00715
DEBUG:MNF:MNF  ::: [ 23] fit: 49475455.64238 | delta: 6.1e+06 | secs: 0.00722
DEBUG:MNF:MNF  ::: [ 24] fit: 44302689.03599 | delta: 5.2e+06 | secs: 0.00717
DEBUG:MNF:MNF  ::: [ 25] fit: 39895588.84418 | delta: 4.4e+06 | secs: 0.00721
DEBUG:MNF:MNF  ::: [ 26] fit: 36113023.05910 | delta: 3.8e+06 | secs: 0.00792
DEBUG:MNF:MNF  ::: [ 27] fit: 32843430.27139 | delta: 3.3e+06 | secs: 0.00720
DEBUG:MNF:MNF  ::: [ 28] fit: 29997279.79779 | delta: 2.8e+06 | secs: 0.00721
DEBUG:MNF:MNF  ::: [ 29] fit: 27502575.61554 | delta: 2.5e+06 | secs: 0.00723
DEBUG:MNF:MNF  ::: [ 30] fit: 25302017.12263 | delta: 2.2e+06 | secs: 0.00716
DEBUG:MNF:MNF  ::: [ 31] fit: 23350501.03382 | delta: 2.0e+06 | secs: 0.00721
DEBUG:MNF:MNF  ::: [ 32] fit: 21612412.19797 | delta: 1.7e+06 | secs: 0.00720
DEBUG:MNF:MNF  ::: [ 33] fit: 20058977.30803 | delta: 1.6e+06 | secs: 0.00720
DEBUG:MNF:MNF  ::: [ 34] fit: 18666163.83572 | delta: 1.4e+06 | secs: 0.00769
DEBUG:MNF:MNF  ::: [ 35] fit: 17413354.80064 | delta: 1.3e+06 | secs: 0.00737
DEBUG:MNF:MNF  ::: [ 36] fit: 16282703.89426 | delta: 1.1e+06 | secs: 0.00715
DEBUG:MNF:MNF  ::: [ 37] fit: 15258863.39130 | delta: 1.0e+06 | secs: 0.00725
DEBUG:MNF:MNF  ::: [ 38] fit: 14328777.27054 | delta: 9.3e+05 | secs: 0.00720
DEBUG:MNF:MNF  ::: [ 39] fit: 13481401.24686 | delta: 8.5e+05 | secs: 0.00719
DEBUG:MNF:MNF  ::: [ 40] fit: 12707375.28397 | delta: 7.7e+05 | secs: 0.00715
DEBUG:MNF:MNF  ::: [ 41] fit: 11998715.73751 | delta: 7.1e+05 | secs: 0.00724
DEBUG:MNF:MNF  ::: [ 42] fit: 11348553.36421 | delta: 6.5e+05 | secs: 0.00719
DEBUG:MNF:MNF  ::: [ 43] fit: 10750914.11165 | delta: 6.0e+05 | secs: 0.00724
DEBUG:MNF:MNF  ::: [ 44] fit: 10200539.55486 | delta: 5.5e+05 | secs: 0.00724
DEBUG:MNF:MNF  ::: [ 45] fit: 9692737.75355 | delta: 5.1e+05 | secs: 0.00721
DEBUG:MNF:MNF  ::: [ 46] fit: 9223254.65172 | delta: 4.7e+05 | secs: 0.00720
DEBUG:MNF:MNF  ::: [ 47] fit: 8788186.28182 | delta: 4.4e+05 | secs: 0.00723
DEBUG:MNF:MNF  ::: [ 48] fit: 8383963.50178 | delta: 4.0e+05 | secs: 0.00779
DEBUG:MNF:MNF  ::: [ 49] fit: 8007392.28968 | delta: 3.8e+05 | secs: 0.00729
DEBUG:MNF:MNF  ::: [ 50] fit: 7655684.66840 | delta: 3.5e+05 | secs: 0.00724
DEBUG:MNF:MNF  ::: [ 51] fit: 7326436.12874 | delta: 3.3e+05 | secs: 0.00722
DEBUG:MNF:MNF  ::: [ 52] fit: 7017566.62421 | delta: 3.1e+05 | secs: 0.00720
DEBUG:MNF:MNF  ::: [ 53] fit: 6727266.50884 | delta: 2.9e+05 | secs: 0.00728
DEBUG:MNF:MNF  ::: [ 54] fit: 6453959.48608 | delta: 2.7e+05 | secs: 0.00718
DEBUG:MNF:MNF  ::: [ 55] fit: 6196270.57151 | delta: 2.6e+05 | secs: 0.00720
DEBUG:MNF:MNF  ::: [ 56] fit: 5952997.20974 | delta: 2.4e+05 | secs: 0.00720
DEBUG:MNF:MNF  ::: [ 57] fit: 5723088.54797 | delta: 2.3e+05 | secs: 0.00723
DEBUG:MNF:MNF  ::: [ 58] fit: 5505626.06054 | delta: 2.2e+05 | secs: 0.00731
DEBUG:MNF:MNF  ::: [ 59] fit: 5299795.40188 | delta: 2.1e+05 | secs: 0.00727
DEBUG:MNF:MNF  ::: [ 60] fit: 5104852.05540 | delta: 1.9e+05 | secs: 0.00786
DEBUG:MNF:MNF  ::: [ 61] fit: 4920093.90438 | delta: 1.8e+05 | secs: 0.00722
DEBUG:MNF:MNF  ::: [ 62] fit: 4744851.54144 | delta: 1.8e+05 | secs: 0.00723
DEBUG:MNF:MNF  ::: [ 63] fit: 4578495.08739 | delta: 1.7e+05 | secs: 0.00755
DEBUG:MNF:MNF  ::: [ 64] fit: 4420444.99493 | delta: 1.6e+05 | secs: 0.00742
DEBUG:MNF:MNF  ::: [ 65] fit: 4270174.51644 | delta: 1.5e+05 | secs: 0.00727
DEBUG:MNF:MNF  ::: [ 66] fit: 4127203.01684 | delta: 1.4e+05 | secs: 0.00789
DEBUG:MNF:MNF  ::: [ 67] fit: 3991088.42436 | delta: 1.4e+05 | secs: 0.00722
DEBUG:MNF:MNF  ::: [ 68] fit: 3861423.72174 | delta: 1.3e+05 | secs: 0.00728
DEBUG:MNF:MNF  ::: [ 69] fit: 3737834.18970 | delta: 1.2e+05 | secs: 0.00719
DEBUG:MNF:MNF  ::: [ 70] fit: 3619971.09588 | delta: 1.2e+05 | secs: 0.00724
DEBUG:MNF:MNF  ::: [ 71] fit: 3507502.55194 | delta: 1.1e+05 | secs: 0.00722
DEBUG:MNF:MNF  ::: [ 72] fit: 3400105.55538 | delta: 1.1e+05 | secs: 0.00724
DEBUG:MNF:MNF  ::: [ 73] fit: 3305204.53170 | delta: 9.5e+04 | secs: 0.00763
