DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 844522134.75929 | delta: 8.4e+08 | secs: 0.00816
DEBUG:MNF:MNF  ::: [  1] fit: 539996355.71959 | delta: 3.0e+08 | secs: 0.00714
DEBUG:MNF:MNF  ::: [  2] fit: 347282100.30400 | delta: 1.9e+08 | secs: 0.00684
DEBUG:MNF:MNF  ::: [  3] fit: 290756255.50819 | delta: 5.7e+07 | secs: 0.00697
DEBUG:MNF:MNF  ::: [  4] fit: 255860747.98323 | delta: 3.5e+07 | secs: 0.00694
DEBUG:MNF:MNF  ::: [  5] fit: 209383651.25663 | delta: 4.6e+07 | secs: 0.00679
DEBUG:MNF:MNF  ::: [  6] fit: 161430867.09865 | delta: 4.8e+07 | secs: 0.00738
DEBUG:MNF:MNF  ::: [  7] fit: 121245563.17562 | delta: 4.0e+07 | secs: 0.00674
DEBUG:MNF:MNF  ::: [  8] fit: 90872332.69761 | delta: 3.0e+07 | secs: 0.00668
DEBUG:MNF:MNF  ::: [  9] fit: 68876884.96232 | delta: 2.2e+07 | secs: 0.00663
DEBUG:MNF:MNF  ::: [ 10] fit: 53105503.41857 | delta: 1.6e+07 | secs: 0.00664
DEBUG:MNF:MNF  ::: [ 11] fit: 41714115.21771 | delta: 1.1e+07 | secs: 0.00658
DEBUG:MNF:MNF  ::: [ 12] fit: 33360994.23502 | delta: 8.4e+06 | secs: 0.00664
DEBUG:MNF:MNF  ::: [ 13] fit: 27128679.49156 | delta: 6.2e+06 | secs: 0.00664
DEBUG:MNF:MNF  ::: [ 14] fit: 22400040.32182 | delta: 4.7e+06 | secs: 0.00656
DEBUG:MNF:MNF  ::: [ 15] fit: 18756547.06681 | delta: 3.6e+06 | secs: 0.00661
DEBUG:MNF:MNF  ::: [ 16] fit: 15909005.60585 | delta: 2.8e+06 | secs: 0.00656
DEBUG:MNF:MNF  ::: [ 17] fit: 13653605.91667 | delta: 2.3e+06 | secs: 0.00657
DEBUG:MNF:MNF  ::: [ 18] fit: 11844196.32725 | delta: 1.8e+06 | secs: 0.00654
DEBUG:MNF:MNF  ::: [ 19] fit: 10374360.41275 | delta: 1.5e+06 | secs: 0.00653
DEBUG:MNF:MNF  ::: [ 20] fit: 9165588.48090 | delta: 1.2e+06 | secs: 0.00661
DEBUG:MNF:MNF  ::: [ 21] fit: 8159421.05140 | delta: 1.0e+06 | secs: 0.00657
DEBUG:MNF:MNF  ::: [ 22] fit: 7312135.96375 | delta: 8.5e+05 | secs: 0.00665
DEBUG:MNF:MNF  ::: [ 23] fit: 6590957.68798 | delta: 7.2e+05 | secs: 0.00656
DEBUG:MNF:MNF  ::: [ 24] fit: 5971194.59170 | delta: 6.2e+05 | secs: 0.00658
DEBUG:MNF:MNF  ::: [ 25] fit: 5434055.12256 | delta: 5.4e+05 | secs: 0.00664
DEBUG:MNF:MNF  ::: [ 26] fit: 4965039.64588 | delta: 4.7e+05 | secs: 0.00661
DEBUG:MNF:MNF  ::: [ 27] fit: 4552812.03347 | delta: 4.1e+05 | secs: 0.00668
DEBUG:MNF:MNF  ::: [ 28] fit: 4188426.57998 | delta: 3.6e+05 | secs: 0.00668
DEBUG:MNF:MNF  ::: [ 29] fit: 3864771.53773 | delta: 3.2e+05 | secs: 0.00661
DEBUG:MNF:MNF  ::: [ 30] fit: 3576121.88493 | delta: 2.9e+05 | secs: 0.00669
DEBUG:MNF:MNF  ::: [ 31] fit: 3317763.90975 | delta: 2.6e+05 | secs: 0.00673
DEBUG:MNF:MNF  ::: [ 32] fit: 3085706.26531 | delta: 2.3e+05 | secs: 0.00673
DEBUG:MNF:MNF  ::: [ 33] fit: 2876498.47267 | delta: 2.1e+05 | secs: 0.00665
DEBUG:MNF:MNF  ::: [ 34] fit: 2687152.12447 | delta: 1.9e+05 | secs: 0.00672
