DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 885561648.35681 | delta: 8.9e+08 | secs: 0.01130
DEBUG:MNF:MNF  ::: [  1] fit: 703168001.88409 | delta: 1.8e+08 | secs: 0.01033
DEBUG:MNF:MNF  ::: [  2] fit: 819854629.41561 | delta: 1.2e+08 | secs: 0.00723
DEBUG:MNF:MNF  ::: [  3] fit: 1062814914.13409 | delta: 2.4e+08 | secs: 0.00565
DEBUG:MNF:MNF  ::: [  4] fit: 1102578741.89670 | delta: 4.0e+07 | secs: 0.00561
DEBUG:MNF:MNF  ::: [  5] fit: 944893132.95503 | delta: 1.6e+08 | secs: 0.00568
DEBUG:MNF:MNF  ::: [  6] fit: 723198381.49291 | delta: 2.2e+08 | secs: 0.00564
DEBUG:MNF:MNF  ::: [  7] fit: 524626235.12334 | delta: 2.0e+08 | secs: 0.00562
DEBUG:MNF:MNF  ::: [  8] fit: 375429838.27009 | delta: 1.5e+08 | secs: 0.00563
DEBUG:MNF:MNF  ::: [  9] fit: 271582329.34302 | delta: 1.0e+08 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 10] fit: 201095687.37099 | delta: 7.0e+07 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 11] fit: 153064588.99350 | delta: 4.8e+07 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 12] fit: 119679911.03145 | delta: 3.3e+07 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 13] fit: 95837777.77928 | delta: 2.4e+07 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 14] fit: 78311766.44544 | delta: 1.8e+07 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 15] fit: 65070100.94820 | delta: 1.3e+07 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 16] fit: 54818329.67867 | delta: 1.0e+07 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 17] fit: 46716049.01307 | delta: 8.1e+06 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 18] fit: 40204522.44979 | delta: 6.5e+06 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 19] fit: 34900895.68730 | delta: 5.3e+06 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 20] fit: 30533512.31246 | delta: 4.4e+06 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 21] fit: 26903256.93579 | delta: 3.6e+06 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 22] fit: 23860636.65897 | delta: 3.0e+06 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 23] fit: 21291606.60707 | delta: 2.6e+06 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 24] fit: 19108036.16473 | delta: 2.2e+06 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 25] fit: 17240819.70113 | delta: 1.9e+06 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 26] fit: 15634830.26383 | delta: 1.6e+06 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 27] fit: 14245394.31194 | delta: 1.4e+06 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 28] fit: 13035988.83493 | delta: 1.2e+06 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 29] fit: 11976722.42981 | delta: 1.1e+06 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 30] fit: 11043162.17578 | delta: 9.3e+05 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 31] fit: 10215308.33646 | delta: 8.3e+05 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 32] fit: 9476765.86843 | delta: 7.4e+05 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 33] fit: 8814152.21944 | delta: 6.6e+05 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 34] fit: 8216619.77352 | delta: 6.0e+05 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 35] fit: 7675369.58332 | delta: 5.4e+05 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 36] fit: 7183199.78757 | delta: 4.9e+05 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 37] fit: 6734190.43846 | delta: 4.5e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 38] fit: 6323505.62876 | delta: 4.1e+05 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 39] fit: 5947207.33471 | delta: 3.8e+05 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 40] fit: 5602031.19003 | delta: 3.5e+05 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 41] fit: 5285162.58985 | delta: 3.2e+05 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 42] fit: 4994071.97329 | delta: 2.9e+05 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 43] fit: 4726431.95392 | delta: 2.7e+05 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 44] fit: 4480097.02584 | delta: 2.5e+05 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 45] fit: 4253108.59766 | delta: 2.3e+05 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 46] fit: 4043696.54138 | delta: 2.1e+05 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 47] fit: 3850268.01571 | delta: 1.9e+05 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 48] fit: 3671385.72032 | delta: 1.8e+05 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 49] fit: 3505740.01727 | delta: 1.7e+05 | secs: 0.00567
DEBUG:MNF:MNF  ::: [ 50] fit: 3352122.46601 | delta: 1.5e+05 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 51] fit: 3209407.27256 | delta: 1.4e+05 | secs: 0.00565
DEBUG:MNF:MNF  ::: [ 52] fit: 3076540.79342 | delta: 1.3e+05 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 53] fit: 2952540.93136 | delta: 1.2e+05 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 54] fit: 2836510.29691 | delta: 1.2e+05 | secs: 0.00559
