DEBUG:MNF:Initializing U
DEBUG:MNF:Initialization completed
DEBUG:MNF:MNF  ::: [  0] fit: 885561725.01912 | delta: 8.9e+08 | secs: 0.00950
DEBUG:MNF:MNF  ::: [  1] fit: 703168027.10829 | delta: 1.8e+08 | secs: 0.00871
DEBUG:MNF:MNF  ::: [  2] fit: 819854642.86025 | delta: 1.2e+08 | secs: 0.00783
DEBUG:MNF:MNF  ::: [  3] fit: 1062814926.32614 | delta: 2.4e+08 | secs: 0.00755
DEBUG:MNF:MNF  ::: [  4] fit: 1102578752.36679 | delta: 4.0e+07 | secs: 0.00729
DEBUG:MNF:MNF  ::: [  5] fit: 944893142.78457 | delta: 1.6e+08 | secs: 0.00900
DEBUG:MNF:MNF  ::: [  6] fit: 723198392.60061 | delta: 2.2e+08 | secs: 0.00797
DEBUG:MNF:MNF  ::: [  7] fit: 524626248.63398 | delta: 2.0e+08 | secs: 0.00639
DEBUG:MNF:MNF  ::: [  8] fit: 375429854.39332 | delta: 1.5e+08 | secs: 0.00630
DEBUG:MNF:MNF  ::: [  9] fit: 271582347.80522 | delta: 1.0e+08 | secs: 0.00620
DEBUG:MNF:MNF  ::: [ 10] fit: 201095707.75393 | delta: 7.0e+07 | secs: 0.00603
DEBUG:MNF:MNF  ::: [ 11] fit: 153064610.89317 | delta: 4.8e+07 | secs: 0.00595
DEBUG:MNF:MNF  ::: [ 12] fit: 119679934.11015 | delta: 3.3e+07 | secs: 0.00582
DEBUG:MNF:MNF  ::: [ 13] fit: 95837801.77275 | delta: 2.4e+07 | secs: 0.00568
DEBUG:MNF:MNF  ::: [ 14] fit: 78311791.15228 | delta: 1.8e+07 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 15] fit: 65070126.21602 | delta: 1.3e+07 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 16] fit: 54818355.39227 | delta: 1.0e+07 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 17] fit: 46716075.08355 | delta: 8.1e+06 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 18] fit: 40204548.80758 | delta: 6.5e+06 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 19] fit: 34900922.27679 | delta: 5.3e+06 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 20] fit: 30533539.08855 | delta: 4.4e+06 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 21] fit: 26903283.86180 | delta: 3.6e+06 | secs: 0.00553
DEBUG:MNF:MNF  ::: [ 22] fit: 23860663.70512 | delta: 3.0e+06 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 23] fit: 21291633.74948 | delta: 2.6e+06 | secs: 0.00553
DEBUG:MNF:MNF  ::: [ 24] fit: 19108063.38454 | delta: 2.2e+06 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 25] fit: 17240846.98359 | delta: 1.9e+06 | secs: 0.00552
DEBUG:MNF:MNF  ::: [ 26] fit: 15634857.59755 | delta: 1.6e+06 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 27] fit: 14245421.68805 | delta: 1.4e+06 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 28] fit: 13036016.24649 | delta: 1.2e+06 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 29] fit: 11976749.87113 | delta: 1.1e+06 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 30] fit: 11043189.64172 | delta: 9.3e+05 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 31] fit: 10215335.82224 | delta: 8.3e+05 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 32] fit: 9476793.36964 | delta: 7.4e+05 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 33] fit: 8814179.73227 | delta: 6.6e+05 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 34] fit: 8216647.29480 | delta: 6.0e+05 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 35] fit: 7675397.11051 | delta: 5.4e+05 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 36] fit: 7183227.31854 | delta: 4.9e+05 | secs: 0.00553
DEBUG:MNF:MNF  ::: [ 37] fit: 6734217.97136 | delta: 4.5e+05 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 38] fit: 6323533.16180 | delta: 4.1e+05 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 39] fit: 5947234.86642 | delta: 3.8e+05 | secs: 0.00552
DEBUG:MNF:MNF  ::: [ 40] fit: 5602058.71921 | delta: 3.5e+05 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 41] fit: 5285190.11561 | delta: 3.2e+05 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 42] fit: 4994099.49511 | delta: 2.9e+05 | secs: 0.00553
DEBUG:MNF:MNF  ::: [ 43] fit: 4726459.47160 | delta: 2.7e+05 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 44] fit: 4480124.53942 | delta: 2.5e+05 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 45] fit: 4253136.10726 | delta: 2.3e+05 | secs: 0.00553
DEBUG:MNF:MNF  ::: [ 46] fit: 4043724.04716 | delta: 2.1e+05 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 47] fit: 3850295.51786 | delta: 1.9e+05 | secs: 0.00553
DEBUG:MNF:MNF  ::: [ 48] fit: 3671413.21909 | delta: 1.8e+05 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 49] fit: 3505767.51292 | delta: 1.7e+05 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 50] fit: 3352149.95869 | delta: 1.5e+05 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 51] fit: 3209434.76226 | delta: 1.4e+05 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 52] fit: 3076568.28001 | delta: 1.3e+05 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 53] fit: 2952568.41472 | delta: 1.2e+05 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 54] fit: 2836537.77701 | delta: 1.2e+05 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 55] fit: 2727682.70239 | delta: 1.1e+05 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 56] fit: 2625321.64717 | delta: 1.0e+05 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 57] fit: 2528874.87012 | delta: 9.6e+04 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 58] fit: 2437840.64714 | delta: 9.1e+04 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 59] fit: 2351771.37850 | delta: 8.6e+04 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 60] fit: 2270260.59246 | delta: 8.2e+04 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 61] fit: 2192939.46927 | delta: 7.7e+04 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 62] fit: 2119473.85377 | delta: 7.3e+04 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 63] fit: 2049558.59425 | delta: 7.0e+04 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 64] fit: 1982914.55934 | delta: 6.7e+04 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 65] fit: 1919291.73880 | delta: 6.4e+04 | secs: 0.00561
DEBUG:MNF:MNF  ::: [ 66] fit: 1858473.16511 | delta: 6.1e+04 | secs: 0.00552
DEBUG:MNF:MNF  ::: [ 67] fit: 1800273.56018 | delta: 5.8e+04 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 68] fit: 1744534.21465 | delta: 5.6e+04 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 69] fit: 1691118.74407 | delta: 5.3e+04 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 70] fit: 1639910.58348 | delta: 5.1e+04 | secs: 0.00551
DEBUG:MNF:MNF  ::: [ 71] fit: 1590809.91812 | delta: 4.9e+04 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 72] fit: 1543728.18636 | delta: 4.7e+04 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 73] fit: 1498580.87565 | delta: 4.5e+04 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 74] fit: 1455281.36852 | delta: 4.3e+04 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 75] fit: 1413737.78695 | delta: 4.2e+04 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 76] fit: 1373852.64863 | delta: 4.0e+04 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 77] fit: 1335524.60204 | delta: 3.8e+04 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 78] fit: 1298652.24544 | delta: 3.7e+04 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 79] fit: 1263139.89033 | delta: 3.6e+04 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 80] fit: 1228903.70092 | delta: 3.4e+04 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 81] fit: 1195875.64192 | delta: 3.3e+04 | secs: 0.00560
DEBUG:MNF:MNF  ::: [ 82] fit: 1164003.49360 | delta: 3.2e+04 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 83] fit: 1133247.38360 | delta: 3.1e+04 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 84] fit: 1103575.10803 | delta: 3.0e+04 | secs: 0.00552
DEBUG:MNF:MNF  ::: [ 85] fit: 1074958.45908 | delta: 2.9e+04 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 86] fit: 1047370.99939 | delta: 2.8e+04 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 87] fit: 1020786.14717 | delta: 2.7e+04 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 88] fit: 995174.55022 | delta: 2.6e+04 | secs: 0.00557
DEBUG:MNF:MNF  ::: [ 89] fit: 970501.07593 | delta: 2.5e+04 | secs: 0.00558
DEBUG:MNF:MNF  ::: [ 90] fit: 946723.07921 | delta: 2.4e+04 | secs: 0.00556
DEBUG:MNF:MNF  ::: [ 91] fit: 923791.82795 | delta: 2.3e+04 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 92] fit: 901657.27494 | delta: 2.2e+04 | secs: 0.00563
DEBUG:MNF:MNF  ::: [ 93] fit: 880273.53432 | delta: 2.1e+04 | secs: 0.00562
DEBUG:MNF:MNF  ::: [ 94] fit: 859601.45290 | delta: 2.1e+04 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 95] fit: 839607.42031 | delta: 2.0e+04 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 96] fit: 820261.06292 | delta: 1.9e+04 | secs: 0.00555
DEBUG:MNF:MNF  ::: [ 97] fit: 801534.47633 | delta: 1.9e+04 | secs: 0.00559
DEBUG:MNF:MNF  ::: [ 98] fit: 783402.82291 | delta: 1.8e+04 | secs: 0.00554
DEBUG:MNF:MNF  ::: [ 99] fit: 765844.54506 | delta: 1.8e+04 | secs: 0.00554
DEBUG:MNF:MNF  ::: [100] fit: 748840.66422 | delta: 1.7e+04 | secs: 0.00554
DEBUG:MNF:MNF  ::: [101] fit: 732374.12609 | delta: 1.6e+04 | secs: 0.00558
DEBUG:MNF:MNF  ::: [102] fit: 716429.55728 | delta: 1.6e+04 | secs: 0.00558
DEBUG:MNF:MNF  ::: [103] fit: 700992.47294 | delta: 1.5e+04 | secs: 0.00561
DEBUG:MNF:MNF  ::: [104] fit: 686047.27442 | delta: 1.5e+04 | secs: 0.00556
DEBUG:MNF:MNF  ::: [105] fit: 671574.84044 | delta: 1.4e+04 | secs: 0.00554
DEBUG:MNF:MNF  ::: [106] fit: 657551.28953 | delta: 1.4e+04 | secs: 0.00559
DEBUG:MNF:MNF  ::: [107] fit: 643949.00504 | delta: 1.4e+04 | secs: 0.00559
DEBUG:MNF:MNF  ::: [108] fit: 630739.70062 | delta: 1.3e+04 | secs: 0.00553
DEBUG:MNF:MNF  ::: [109] fit: 617897.93257 | delta: 1.3e+04 | secs: 0.00561
DEBUG:MNF:MNF  ::: [110] fit: 605403.23525 | delta: 1.2e+04 | secs: 0.00556
DEBUG:MNF:MNF  ::: [111] fit: 593240.25352 | delta: 1.2e+04 | secs: 0.00560
DEBUG:MNF:MNF  ::: [112] fit: 581397.50834 | delta: 1.2e+04 | secs: 0.00553
DEBUG:MNF:MNF  ::: [113] fit: 569865.80518 | delta: 1.2e+04 | secs: 0.00556
DEBUG:MNF:MNF  ::: [114] fit: 558637.09130 | delta: 1.1e+04 | secs: 0.00555
DEBUG:MNF:MNF  ::: [115] fit: 547704.04984 | delta: 1.1e+04 | secs: 0.00559
DEBUG:MNF:MNF  ::: [116] fit: 537060.11817 | delta: 1.1e+04 | secs: 0.00560
